   
lumi event photon_et photon_ph
178826 43986644 -1.799804 0.0354385
2021 499023 1.8818359 0.8312988
12478 3072497 0.9580078 1.3039550
6300 1555539 0.8331298 2.5795898
58360 14359594 1.2199707 -2.568359
157188 38669125 -1.203369 2.7524414
195918 48190198 0.8839111 -2.619140
182426 44875547 -1.128906 -0.059928
140669 34598879 1.3198242 2.4760742
252892 62207598 -0.183380 1.6235351
209480 51530581 -1.966308 1.0239257
189031 46498071 -0.063415 -2.633300
231900 57040968 -1.444091 -1.528076
239045 58796981 0.4880371 1.34375
33560 8261251 -0.183319 0.7685546
140188 34488338 -0.153747 -1.691894
216998 53378358 1.0976562 1.4775390
5520 1362984 0.1777648 2.9487304
43986 10818713 -0.537841 -0.103088
141374 34772933 -1.949951 1.0249023
201178 49488860 -1.591552 -3.129394
242419 59629989 -1.149658 0.3535156
31049 7641235 1.7287597 2.2055664
113507 27925774 1.1308593 -2.799316
211507 52022494 -0.405517 2.9291992
188851 46453510 -1.722167 0.5971679
197266 48522982 0.5122070 2.8369140
212522 52273277 -0.638916 0.6608886
204302 50251886 0.0175666 1.5644531
158821 39063990 -0.236267 1.6835937
196052 48223310 0.7626953 -2.719726
211141 51932267 0.6945800 1.3476562
32480 7994534 1.7163085 -2.322265
249895 61467621 -2.317382 -0.084579
35562 8747022 0.9951171 1.7805175
103422 25443866 -1.674560 -0.162078
86213 21211598 -0.232940 -1.898681
111160 27346194 2.3242187 -1.170166
45656 11231179 -1.184570 -2.587402
78339 19275669 0.5269775 0.0144462
114508 28164373 -2.384277 2.1791992
79821 19633445 -1.423583 -2.447265
119120 29303217 -2.161132 -1.944335
3247 801787 -1.874755 -2.459472
101909 25070332 -0.217559 -2.898437
93032 22886868 -1.976806 -1.103027
89465 22006045 0.7257080 -0.093490
105766 26014360 -1.347900 0.9090576
33563 8261859 2.1811523 2.0429687
221513 54484832 -0.867797 -0.570556
197345 48542503 0.5036621 2.1455078
36935 9086008 0.0689544 1.2421875
99517 24479705 0.7827148 -1.019775
149748 36832112 0.0619735 -2.644531
222381 54699117 -1.951660 0.609375
227273 55906964 0.4708251 -0.577636
231996 57064837 -1.649414 -1.121826
10081 2480564 -1.244873 0.1282043
93667 23043774 -1.396484 0.9572753
144022 35426778 0.4227294 -1.714599
122862 30227211 2.3613281 0.3561401
76544 18832581 2.0834960 1.0048828
14291 3520262 0.2160034 -1.148681
83426 20523386 0.6121826 1.4501953
6670 1646872 0.3706054 2.5693359
35280 8677437 0.4918823 1.8879394
83947 20652092 -0.864501 -0.824218
52308 12873447 -0.253540 -0.920776
104215 25639752 -0.164733 -0.680664
54617 13435416 0.5920410 -0.243347
54062 13298292 -1.223632 -2.649902
120172 29562975 0.4355468 -0.960327
174077 42822414 -0.696166 -0.340270
61086 15032554 1.2773437 2.8154296
176734 43470040 -0.371459 -0.778686
241653 59440776 1.6423339 2.6699218
449768 205184218 0.7098388 2.9052734
1206189 550263319 0.5673828 1.1059570
168275 76767187 1.3181152 2.6928710
447078 203957183 1.2299804 2.1455078
1045861 477121384 -0.819335 -0.827514
782118 356802557 -0.847534 1.0014648
1160394 529371444 -2.339355 -0.190307
341441 155765111 1.7666015 -0.869018
1273031 580756613 0.0767974 0.2478332
1260603 575086899 0.5416259 -2.406738
218167 99527825 2.0976562 2.1035156
398178 181648793 -0.619995 1.7153320
1022638 466527609 0.0221633 2.5297851
184935 84367405 1.4111328 -2.870605
239209 109127381 1.7333984 -0.071060
117597 53648020 1.1884765 0.0151252
811915 370395445 1.8764648 0.5031738
726585 331468196 0.0553588 -2.032226
125496 57251504 -0.655273 0.5769042
227974 104001501 -1.304687 2.0463867
1329423 606482476 0.6889648 2.2084960
691207 315328848 -1.926269 2.6625976
403898 184258363 -0.088745 2.8950195
893199 407477562 -1.938964 -1.924804
530871 242183015 -2.129882 -0.216644
234284 106880368 -0.741088 -3.03125
250504 114279918 1.2849121 0.1627502
945521 431346232 -2.143066 0.8924560
920733 420038363 1.9748535 -2.354003
628225 286596440 1.1425781 1.4594726
702731 320585488 0.9780273 -1.450439
562898 256794187 -2.042480 1.7062988
60695 27689268 -1.017089 0.5769042
440533 200971030 0.1086578 1.7663574
676623 308675339 -2.024414 2.4565429
569121 259632878 -0.264221 0.0119323
1049806 478921684 1.6333007 3.0034179
1087184 495973497 -0.087066 -2.280761
746682 340635983 -0.148681 -0.691040
962831 439243173 -1.019042 1.0307617
1302479 594190996 -1.216308 0.7523193
16696 7616733 1.5783691 -2.144042
133475 60891232 -0.611206 -1.720214
354009 161498922 0.4654541 2.1689453
497256 226848274 2.3046875 2.3393554
1020952 465758114 -0.876708 -2.739746
925498 422212368 -0.425903 -0.874755
546719 249413545 -0.156829 -1.366699
541209 246899496 -1.818847 0.7070312
715507 326414392 0.5046386 0.5301513
697695 318288595 -0.705932 -1.018066
627406 286222591 1.0517578 -0.223205
939366 428538779 1.7629394 -0.283081
1032156 470869680 0.6210937 2.1923828
805807 367609322 -1.208740 -0.132812
858957 391856111 0.7580566 1.5141601
787546 359278325 2.2524414 -2.111816
797832 363970782 2.0146484 -0.580688
852266 388803867 -1.111328 -1.809570
1022048 466258234 -0.346374 1.8771972
1202441 548553150 -0.461853 -2.796386
122293 55789930 0.1908264 2.3681640
7791 3553972 2.1376953 -2.755859
188105 85813262 0.3237304 -1.136718
173952 79356582 0.0232887 1.2395019
333914 152331657 -0.308227 -0.918212
654024 298365792 -1.711914 -2.701171
93479 42645432 0.0839691 1.6013183
19842 9051712 0.3910522 -1.203613
53342 24334276 1.3442382 -0.154174
159819 72909811 1.3259277 0.6534423
908143 414294837 0.9490966 -1.449707
474001 216238983 0.0144405 -1.249023
924549 421779446 -1.845458 0.7066650
1204597 549537009 -1.700439 1.7360839
246683 112536435 1.8532714 0.1976318
635308 289827599 0.3778076 -2.837402
706095 322120458 0.5119628 -0.414367
1268257 578578933 0.2347717 2.6235351
980809 447445318 -0.221618 0.6513671
1285108 586266173 1.7768554 1.3156738
967662 441447470 1.2482910 1.2746582
709639 323737361 -1.277099 -3.018066
135683 61898526 -0.874389 -0.151885
883931 403249287 1.6433105 2.8115234
1345016 613596167 -2.050781 0.0162887
381351 173972044 -0.508056 -0.889282
343015 156483605 0.9820556 1.9750976
780694 356152707 2.0996093 -0.781127
1101885 502679990 -1.923095 -1.692626
1368781 624437689 1.7199707 0.3699340
1207034 550648914 -0.682495 -1.564941
293889 134072362 -0.944824 0.2226562
33969 15496832 -0.455749 2.890625
21209 9675600 1.3825683 -1.884521
190901 87089023 -2.242187 -0.752807
1297032 591705969 -0.433227 0.6564941
841056 383689789 2.2631835 -0.547119
163097 74404746 0.6843261 1.0478515
154732 70588688 -0.042465 -1.031738
194392 88681248 -2.223144 -2.636230
509818 232579025 -1.343994 -0.465698
227357 103720496 2.2768554 -0.830322
231528 105623273 2.1279296 0.3873901
993284 453136096 0.7215576 -2.250976
1197653 546369026 -1.322265 1.7971191
344382 157107119 0.0267715 2.1489257
412017 187962131 -1.999511 2.1923828
592702 270390476 1.890625 1.6037597
826688 377134999 0.2183837 -1.272705
161413 73636630 -0.100921 -2.846679
1210597 552274580 -0.983276 2.3886718
670692 305969311 1.7358398 -0.867309
919336 419400936 0.7515869 1.203125
369012 168343080 0.5456542 1.2888183
730263 333145822 -1.03125 2.9282226
1001082 456693465 -1.693603 -0.905395
692813 316061189 0.4963378 -1.144042
169207 77192302 -1.072021 0.6015625
784556 357914479 -1.929931 2.8178710
50538 23055601 -0.713867 -1.027343
961484 438629135 -0.145751 2.7836914
576005 262773467 2.1157226 -1.342773
545865 249023429 -0.450378 -0.216949
331707 151324794 -0.310180 2.1225585
620691 283158785 1.7312011 1.4550781
